code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
73217;Rotherens;73;625;337;5910;2941;9;;
73218;Ruffieux;73;500;329;3525;2131;9;;
73219;Saint-Alban-de-Montbel;73;490;344;4698;2529;46;;
73220;Saint-Alban-d'Hurtières;73;768;364;7752;3567;9;;
73221;Saint-Alban-des-Villards;73;826;515;7708;3551;9;;
73222;Saint-Alban-Leysse;73;539;329;4931;2609;9;;
73223;Saint-André;73;751;509;8944;3971;9;;
73224;Saint-Avre;73;816;356;7829;3593;9;;
73225;Saint-Baldoph;73;545;336;5837;2916;9;;
73226;Saint-Béron;73;470;327;4620;2503;9;;
73227;Courchevel;73;693;509;7404;3448;9;;
73228;Saint-Cassin;73;514;360;4729;2540;9;;
73229;Saint-Christophe;73;463;376;4684;2525;9;;
73230;Saint-Colomban-des-Villards;73;817;512;8161;3705;9;;
73231;Saint-Étienne-de-Cuines;73;848;358;7048;3328;9;;
73232;Sainte-Foy-Tarentaise;73;776;494;10857;4621;9;;
73233;Saint-Franc;73;454;395;4655;2515;9;;
73234;Saint-François-de-Sales;73;537;431;5124;2674;9;;
73235;Saint François Longchamp;73;814;519;7767;3572;9;;
73236;Saint-Genix-les-Villages;73;485;320;5220;2707;46;;
73237;Saint-Georges-d'Hurtières;73;670;377;7730;3559;9;;
73240;Sainte-Hélène-du-Lac;73;595;324;4959;2618;9;;
73241;Sainte-Hélène-sur-Isère;73;632;333;5398;2767;9;;
73242;Saint-Jean-d'Arves;73;709;690;7633;3526;9;;
73243;Saint-Jean-d'Arvey;73;545;366;5327;2743;9;;
73245;Saint-Jean-de-Chevelu;73;484;332;5645;2851;9;;
73246;Saint-Jean-de-Couz;73;468;389;5383;2762;9;;
73247;Saint-Jean-de-la-Porte;73;640;328;4989;2628;9;;
73248;Saint-Jean-de-Maurienne;73;839;374;7688;3545;9;;
73249;Saint-Jeoire-Prieuré;73;537;337;5203;2701;9;;
73250;Saint-Julien-Mont-Denis;73;774;393;8212;3723;9;;
73252;Saint-Léger;73;784;339;8070;3674;9;;
73253;Saint-Marcel;73;665;357;6452;3125;9;;
73254;Sainte-Marie-d'Alvey;73;454;360;4878;2590;46;;
73255;Sainte-Marie-de-Cuines;73;857;356;7186;3374;9;;
73256;Saint-Martin-d'Arc;73;799;416;10096;4363;9;;
73257;Les Belleville;73;782;398;8701;3889;9;;
73258;Saint-Martin-de-la-Porte;73;810;422;9195;4057;9;;
73259;Saint-Martin-sur-la-Chambre;73;828;356;8104;3686;9;;
73261;Saint-Michel-de-Maurienne;73;804;409;10213;4402;9;;
73262;Saint-Nicolas-la-Chapelle;73;637;466;4157;2346;9;;
73263;Saint-Offenge;73;518;381;5449;2785;9;;
73265;Saint-Ours;73;480;360;4753;2548;9;;
73267;Saint-Pancrace;73;772;379;7646;3531;9;;
73268;Saint-Paul-sur-Isère;73;637;348;6488;3137;9;;
73269;Saint-Paul;73;493;374;5402;2769;46;;
73270;Saint-Pierre-d'Albigny;73;665;345;4535;2474;9;;
73271;Saint-Pierre-d'Alvey;73;478;380;4982;2626;46;;
73272;Saint-Pierre-de-Belleville;73;773;340;8112;3689;9;;
73273;Saint-Pierre-de-Curtille;73;478;349;4360;2415;9;;
73274;Saint-Pierre-d'Entremont;73;518;388;3655;2175;9;;
73275;Saint-Pierre-de-Genebroz;73;475;357;4225;2369;9;;
73276;Saint-Pierre-de-Soucy;73;615;332;5291;2731;9;;
73277;Sainte-Reine;73;596;431;5098;2665;9;;
73278;Saint-Rémy-de-Maurienne;73;834;350;7519;3487;9;;
