code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
1232;Marboz;1;519;320;4527;2471;9;;
1233;Marchamp;1;428;374;4287;2390;9;;
1234;Marignieu;1;446;339;4108;2329;46;;
1235;Marlieux;1;640;325;4678;2523;9;;
1236;Marsonnas;1;576;317;4040;2306;9;;
1237;Martignat;1;387;363;4677;2522;9;;
1238;Massieux;1;674;320;4447;2444;9;;
1239;Massignieu-de-Rives;1;479;329;4145;2342;46;;
1240;Matafelon-Granges;1;417;353;5209;2703;9;;
1241;Meillonnas;1;443;321;4360;2415;9;;
1242;Mérignat;1;361;350;3654;2175;9;;
1243;Messimy-sur-Saône;1;720;315;5648;2852;9;;
1244;Meximieux;1;428;319;3827;2234;9;;
1245;Bohas-Meyriat-Rignat;1;403;328;3769;2214;9;;
1246;Mézériat;1;588;316;3999;2292;9;;
1247;Mijoux;1;413;477;5171;2690;9;;
1248;Mionnay;1;629;327;4367;2417;9;;
1249;Miribel;1;569;314;3937;2271;9;;
1250;Misérieux;1;671;320;4919;2604;9;;
1252;Mogneneins;1;651;317;5630;2846;9;;
1254;Montagnat;1;542;324;3657;2176;9;;
1255;Montagnieu;1;442;332;3747;2207;9;;
1257;Montanges;1;470;394;4365;2416;9;;
1258;Montceaux;1;724;313;5646;2851;9;;
1259;Montcet;1;563;319;3750;2208;9;;
1260;Le Montellier;1;548;328;3029;1963;9;;
1261;Monthieux;1;643;328;4101;2327;9;;
1262;Montluel;1;584;317;2910;1922;9;;
1263;Montmerle-sur-Saône;1;761;313;6083;3000;9;;
1264;Montracol;1;549;321;3763;2212;9;;
1265;Montréal-la-Cluse;1;456;358;4386;2423;9;;
1266;Montrevel-en-Bresse;1;551;318;4309;2397;9;;
1267;Nurieux-Volognat;1;415;360;4454;2446;9;;
1268;Murs-et-Gélignieux;1;478;319;5322;2741;46;;
1269;Nantua;1;394;358;4221;2367;9;;
1272;Neuville-les-Dames;1;619;321;4323;2402;9;;
1273;Neuville-sur-Ain;1;399;328;3740;2204;9;;
1274;Les Neyrolles;1;398;368;4220;2367;9;;
1275;Neyron;1;473;314;3827;2234;9;;
1276;Niévroz;1;451;314;3552;2140;9;;
1277;Nivollet-Montgriffon;1;379;380;3887;2254;9;;
1279;Oncieu;1;379;353;3364;2076;9;;
1280;Ordonnaz;1;425;334;3890;2255;9;;
1281;Ornex;1;479;357;3842;2239;9;;
1282;Outriaz;1;424;404;3629;2167;9;;
1283;Oyonnax;1;401;368;4595;2494;9;;
1284;Ozan;1;603;315;4295;2393;9;;
1285;Parcieux;1;670;315;4651;2513;9;;
1286;Parves et Nattages;1;440;360;4448;2445;46;;
1288;Péron;1;490;366;4045;2308;9;;
1289;Péronnas;1;490;321;3296;2053;9;;
1290;Pérouges;1;445;326;3795;2223;9;;
1291;Perrex;1;605;317;4513;2467;9;;
1293;Peyriat;1;383;372;4096;2325;9;;
1294;Peyrieu;1;468;321;4863;2585;46;;
1295;Peyzieux-sur-Saône;1;663;319;5456;2787;9;;
1296;Pirajoux;1;503;319;4750;2547;9;;
1297;Pizay;1;495;327;3504;2124;9;;
1298;Plagne;1;416;420;4647;2512;9;;
1299;Le Plantay;1;599;326;3857;2244;9;;
1301;Polliat;1;567;319;3285;2049;9;;
1302;Pollieu;1;482;325;4057;2312;9;;
1303;Poncin;1;368;324;3722;2198;9;;
1304;Pont-d'Ain;1;395;322;3718;2197;9;;
1305;Pont-de-Vaux;1;569;313;3118;1993;9;;
1306;Pont-de-Veyle;1;619;314;4517;2468;9;;
1307;Port;1;413;357;4280;2387;9;;
1308;Pougny;1;509;345;3927;2268;9;;
1309;Pouillat;1;409;338;5552;2820;9;;
1310;Prémeyzel;1;443;335;4734;2542;46;;
1311;Prémillieu;1;426;449;3684;2185;9;;
1313;Prévessin-Moëns;1;503;353;4113;2331;9;;
1314;Priay;1;445;320;2831;1895;9;;
1317;Ramasse;1;410;335;4278;2387;9;;
1318;Rancé;1;657;328;4540;2476;9;;
